
2024/11/15 (00:59:54) | ===> btop++ v.1.4.0
2024/11/15 (00:59:54) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/15 (01:02:57) | INFO: Logger set to INFO
2024/11/15 (01:03:01) | INFO: Logger set to DEBUG
2024/11/15 (01:03:03) | INFO: Logger set to INFO
2024/11/15 (01:03:06) | INFO: Logger set to INFO

2025/04/07 (17:49:09) | ===> btop++ v.1.4.0
2025/04/07 (17:49:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (15:22:49) | ===> btop++ v.1.4.0
2025/04/08 (15:22:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (15:23:27) | ===> btop++ v.1.4.0
2025/04/08 (15:23:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (15:23:49) | ===> btop++ v.1.4.0
2025/04/08 (15:23:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/08 (15:23:56) | WARNING: Failed to join _runner thread on exit!

2025/04/08 (15:24:02) | ===> btop++ v.1.4.0
2025/04/08 (15:24:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (15:24:26) | ===> btop++ v.1.4.0
2025/04/08 (15:24:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (15:24:38) | ===> btop++ v.1.4.0
2025/04/08 (15:24:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/17 (00:08:00) | ===> btop++ v.1.4.0
2025/04/17 (00:08:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (22:53:38) | ===> btop++ v.1.4.0
2025/04/19 (22:53:38) | WARNING: Intel GPU: Failed to initialize PMU
